"","id","first_name","second_name","player_type","team_name","now_cost","total_points","points_per_game","status","bps","influence","creativity","threat","ict_index","news","news_added","photo","bonus","value_form","value_season","goals_scored","assists","clean_sheets","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus.1","element_type","team"
"272",51,"José Heriberto","Izquierdo Mena","MID","Brighton",5500000,0,"0.0","i",0,"0.0","0.0","0.0","0.0","Knee injury - Unknown return date","2019-06-25T11:30:06.929510Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/167473.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,3,4
"313",52,"Anthony","Knockaert","MID","Brighton",5400000,0,"0.0","n",0,"0.0","0.0","0.0","0.0","Joined Fulham on loan until the end of the season on 21/7. - Expected back 01 Jul","2019-07-21T20:00:14.555249Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/83543.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,3,4
"314",53,"Yves","Bissouma","MID","Brighton",5e+06,0,"0.0","d",0,"0.0","0.0","0.0","0.0","Shoulder injury - 50% chance of playing","2019-06-25T11:30:06.944296Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/227127.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,3,4
"315",54,"Davy","Pröpper","MID","Brighton",5e+06,12,"3.0","a",57,"62.0","32.1","28.0","12.3","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/66242.jpg",0,"0.6","2.4",0,1,1,0,0,0,0,0,0,0,3,4
"248",55,"Solomon","March","MID","Brighton",5e+06,9,"2.2","a",49,"56.0","57.5","46.0","16.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/109345.jpg",0,"0.4","1.8",0,0,1,0,0,0,0,0,0,0,3,4
"276",56,"Beram","Kayal","MID","Brighton",4400000,0,"0.0","n",0,"0.0","0.0","0.0","0.0","Joined Charlton Athletic on loan until the end of the season on 8/8. - Expected back 01 Jul","2019-08-08T22:00:09.076501Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/38490.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,3,4
"257",57,"Dale","Stephens","MID","Brighton",4500000,9,"2.2","a",55,"45.0","17.2","15.0","7.7","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/40845.jpg",0,"0.5","2.0",0,0,1,0,0,0,0,0,0,0,3,4
"115",58,"Steve","Cook","DEF","Bournemouth",5e+06,6,"1.5","a",53,"66.6","10.9","4.0","8.1","","2019-07-30T11:30:12.364426Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/56917.jpg",0,"0.3","1.2",0,0,0,0,0,0,0,0,0,0,2,3
"116",59,"Nathan","Aké","DEF","Bournemouth",4900000,5,"1.2","a",56,"76.2","21.9","63.0","16.1","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/126184.jpg",0,"0.2","1.0",0,0,0,0,0,0,1,0,0,0,2,3
"117",60,"Charlie","Daniels","DEF","Bournemouth",4500000,3,"1.5","i",18,"22.4","29.6","0.0","5.2","Knee injury - Unknown return date","2019-08-25T15:30:14.994228Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/41320.jpg",0,"0.2","0.7",0,0,0,0,0,0,0,0,0,0,2,3
"118",61,"Chris","Mepham","DEF","Bournemouth",4500000,12,"4.0","a",50,"66.6","2.1","70.0","13.9","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/223911.jpg",2,"0.7","2.7",1,0,0,0,0,0,0,0,0,2,2,3
"119",62,"Simon","Francis","DEF","Bournemouth",4500000,0,"0.0","i",0,"0.0","0.0","0.0","0.0","Anterior cruciate ligament - Unknown return date","2019-06-25T11:30:06.976202Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/15149.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,2,3
"120",63,"Adam","Smith","DEF","Bournemouth",4500000,5,"1.2","d",39,"19.4","8.7","41.0","6.8","Hamstring injury - 75% chance of playing","2019-08-31T17:30:17.323480Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/54469.jpg",0,"0.3","1.1",0,0,0,0,0,0,1,0,0,0,2,3
"121",64,"Lloyd","Kelly","DEF","Bournemouth",4400000,0,"0.0","i",0,"0.0","0.0","0.0","0.0","Ankle injury - Unknown return date","2019-08-04T16:00:15.955778Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/235530.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,2,3
"122",65,"Diego","Rico","DEF","Bournemouth",4e+06,2,"2.0","a",13,"21.0","16.6","3.0","4.1","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/171129.jpg",0,"0.1","0.5",0,0,0,0,0,0,0,0,0,0,2,3
"123",66,"Jack","Simpson","DEF","Bournemouth",4e+06,0,"0.0","a",0,"0.0","0.0","0.0","0.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/222434.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,2,3
"504",67,"Callum","Wilson","FWD","Bournemouth",7900000,20,"5.0","a",59,"18.8","74.9","80.0","17.5","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/75115.jpg",0,"0.6","2.5",1,3,0,0,0,0,1,0,0,0,4,3
"507",68,"Joshua","King","FWD","Bournemouth",6400000,12,"3.0","a",35,"60.2","29.1","65.0","15.4","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/78007.jpg",0,"0.5","1.9",1,0,0,0,0,0,0,0,0,0,4,3
"497",69,"Dominic","Solanke","FWD","Bournemouth",5400000,4,"1.0","a",11,"7.0","10.8","56.0","7.4","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/154566.jpg",0,"0.2","0.7",0,0,0,0,0,0,0,0,0,0,4,3
"463",70,"Lys","Mousset","FWD","Sheffield Utd",4900000,1,"1.0","a",5,"0.0","0.0","0.0","0.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/178304.jpg",0,"0.0","0.2",0,0,0,0,0,0,0,0,0,0,4,15
